track id, amazement, solemnity, tenderness, nostalgia, calmness, power, joyful_activation, tension, sadness
1,0.14583333333333334,0.3333333333333333,0.20833333333333334,0.2916666666666667,0.625,0.020833333333333332,0.08333333333333333,0.0625,0.3125
2,0.10638297872340426,0.1702127659574468,0.425531914893617,0.3404255319148936,0.7446808510638298,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.10638297872340426
3,0.17391304347826086,0.34782608695652173,0.13043478260869565,0.17391304347826086,0.06521739130434782,0.2826086956521739,0.41304347826086957,0.2391304347826087,0.15217391304347827
4,0.11904761904761904,0.14285714285714285,0.5238095238095238,0.4523809523809524,0.7619047619047619,0.023809523809523808,0.0,0.023809523809523808,0.14285714285714285
5,0.045454545454545456,0.29545454545454547,0.3181818181818182,0.5227272727272727,0.3181818181818182,0.045454545454545456,0.06818181818181818,0.18181818181818182,0.3181818181818182
6,0.10638297872340426,0.2127659574468085,0.2127659574468085,0.2978723404255319,0.5531914893617021,0.06382978723404255,0.23404255319148937,0.1276595744680851,0.1276595744680851
7,0.3404255319148936,0.0851063829787234,0.14893617021276595,0.0851063829787234,0.10638297872340426,0.2127659574468085,0.8085106382978723,0.14893617021276595,0.02127659574468085
8,0.08695652173913043,0.2826086956521739,0.32608695652173914,0.30434782608695654,0.4782608695652174,0.043478260869565216,0.1956521739130435,0.15217391304347827,0.15217391304347827
9,0.11363636363636363,0.2727272727272727,0.3181818181818182,0.4090909090909091,0.4772727272727273,0.045454545454545456,0.06818181818181818,0.022727272727272728,0.36363636363636365
10,0.2765957446808511,0.2127659574468085,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.5106382978723404,0.6382978723404256,0.2127659574468085,0.02127659574468085
11,0.0425531914893617,0.2978723404255319,0.23404255319148937,0.3829787234042553,0.3617021276595745,0.0425531914893617,0.06382978723404255,0.1276595744680851,0.3829787234042553
12,0.3137254901960784,0.058823529411764705,0.1568627450980392,0.1568627450980392,0.1568627450980392,0.0784313725490196,0.7450980392156863,0.0784313725490196,0.0392156862745098
13,0.02127659574468085,0.3191489361702128,0.14893617021276595,0.40425531914893614,0.3829787234042553,0.14893617021276595,0.02127659574468085,0.23404255319148937,0.2553191489361702
14,0.12244897959183673,0.20408163265306123,0.30612244897959184,0.32653061224489793,0.3877551020408163,0.08163265306122448,0.14285714285714285,0.16326530612244897,0.12244897959183673
15,0.06818181818181818,0.3409090909090909,0.29545454545454547,0.45454545454545453,0.36363636363636365,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.45454545454545453
16,0.09090909090909091,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.022727272727272728,0.7045454545454546,0.11363636363636363,0.6363636363636364,0.13636363636363635
